freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
/m/09wh2_,3707753,,,4570,11292,,18044441,Gaetano Pesce
,,,,,,,18044465,Mennecy
/m/0k0f5pb,36141676,,,,,,18044469,Volkstedt
/m/04g0kvh,17540770,,,3044,,,18044485,Douglas Kelley
,,,,,,,18044487,Laverne
/m/0432n7,1067409,,,3842,,,18044489,Roberto Sebastian Matta
/m/07fhb3,2457839,,,451,,,18044493,Mario Bellini
/m/09gh4fg,25169657,,,1978,,18307441,18044503,Gianfranco Frattini
/m/026p2z5,8030356,,,,7948,,18044507,Artemide
/m/0gw70l,6901053,,,241,,,18044509,Gae Aulenti
/m/0c06p,44017,,,,,,18044511,Candle
/m/0h52nl,7119776,,,2328,,,18044539,Vittorio Gregotti
/m/061632,1853957,,,5168,,,18044543,Timo Sarpaneva
/m/0lxh0,86768,,,2869,,,18044547,Arne Jacobsen
/m/0ch5n8r,28017210,,,,,,18044551,Kay Bojesen
/m/062989,1866819,,,,833,18307185,18044553,Kosta Boda
/m/09v9d_3,25769264,,,,8405,,18044573,Rorstrand
/m/0268p5d,7679503,,,,,,18044575,Edwin Scheier
/m/02755dp,8486669,,,,,,18044577,Mary Scheier
/m/0615l4,1853769,,,6409,,,18044579,Tapio Wirkkala
/m/06qcl7,2148792,,,,,,18044605,Breon O'Casey
/m/02dqxd,,,,,,,18044627,Hans J. Wegner
/m/0gbct8,6556328,,,4316,,,18044635,Marcello Nizzoli
/m/04jd9gb,19091182,,,7560,,,18044647,Gwathmey Siegel & Associates
,,,,,39545,,18044651,Alias
/m/04dhv_,1174550,9899554,,769,,,18044669,Marcel Breuer
/m/0ks1y8,7304575,,,,,18297613,18044673,Johann Joachim Kändler
,,,,,,,18044675,Erik Fleming
/m/01xh0k,335794,,,,15969,,18044689,Samuel Bing
,,,,,,,18044691,L'Art Nouveau
/m/065zd,24750,,,,,,18044715,Porter Blanchard
/m/080nvd,2749395,,,,,,18044721,Westclox
,,,,,847,,18044735,Orrefors
/m/01fk8j,215490,,,7443,,,18044737,David Law
/m/0q1js,103268,,,,68536,18295293,18044755,A.W.N.  Pugin
/m/02vrqn_,12157374,,,,,,18044759,Pierre-Philippe Thomire
/m/07m7jn,2546440,,,,3380,,18044767,Meissen Porcelain Factory
/m/01s30t,302784,,,,861,18299467,18044769,Steuben Glass
/m/07whqf,2666306,,,,,18307889,18044781,Reed & Barton
/m/026g6vk,7851097,,,,213,,18044785,James Powell & Sons
/m/0b60lv,3903160,,,,64809,,18044787,Frederick Carder
,,,,,,,18044789,Steuben
/m/07gj5y,,,,,,18296751,18044797,Keith Murray
,,,,,,,18044799,Norman Wilson
/m/0280zwj,9228486,,,,,18308393,18044801,Roseville Pottery
/m/03m9lv_,15446341,,,,,,18044811,David Vestal
/m/074gh7,2333217,284011,,,72222,18305651,18044819,Richard Redgrave
/m/082hnj,2784087,,,6592,,,18044821,Piet Zwart
/m/06rmcb,2164292,,,,44822,,18044823,Guerlain
,,,,,6414,,18044843,Cappellini
/m/0j7j9t4,35194848,,,,,,18044857,Marijke de Goey
/m/014jjj,156436,,,8418,16315,,18044865,Philippe Starck
/m/03d3jpt,14438023,,,,,,18044883,Pelican Products
/m/01kqkz,246936,,,,61700,,18044889,Black & Decker
/m/03kc5t,871528,,,,,,18044905,René Paul Chambellan
/m/01jksf,,,,,,,18044909,Westinghouse
/m/0dmr_m,5457648,,,,,,18044911,Oster
,,,,,,,18044935,Merkelbach
/m/06n4b4,2115268,,,,,,18044941,George Sakier
/m/04n2j13,19659617,,,,,,18044943,Fostoria Glass Company
/m/0273tw6,8450136,,,,,,18044951,"Shreve, Crump & Low"
/m/0j2b6f0,34605741,,,,,,18044959,Arthur Eugene Baggs
,,,,,,,18044969,Abraxes
/m/0fxs9c,6227038,,,,9746,,18044975,Villeroy and Boch
/m/0f7tt,54595,,,3671,,,18044987,Charles Rennie Mackintosh
,,,,,,,18044989,Berndorf
/m/0277h1_,8548168,,,5162,,18300501,18044991,Richard Sapper
/m/02qtnxj,10906526,,,6544,,,18044993,Marco Zanuso
,,,,,,,18044999,EFM
/m/0hhjk,66107,,,,75319,,18045001,The Museum of Modern Art
/m/01hgbb,,,,,,,18045011,Western Electric Manufacturing Company
/m/0bqt_j,4223241,,,,,,18045013,Kem Weber
,,,,,,,18045017,Hammond
,,,,,,,18045037,Poul Hansen
